tree_id,樹種,経度,緯度,区分,場所,出典
PT0145-00-0379,クロマツ,139.6559934,35.69723525,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0382,クロマツ,139.6560224,35.69722956,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0386,クロマツ,139.6560202,35.69721872,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0392,クロマツ,139.6559553,35.69721244,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0403,クロマツ,139.6563318,35.69720017,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0416,クロマツ,139.655995,35.69717356,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0418,クロマツ,139.6559487,35.69717194,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0709,アカマツ,139.6561879,35.69642969,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0830,アカマツ,139.6562181,35.69635531,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0148-00-0001,クロマツ,139.6354588,35.71281678,公園樹木（杉並区）,阿佐谷かりん公園,suginami_park_matsu
PT0148-00-0006,ゴヨウマツ,139.6353233,35.71279461,公園樹木（杉並区）,阿佐谷かりん公園,suginami_park_matsu
PT0150-00-0012,マツ,139.6374296,35.68474478,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0013,マツ,139.6375194,35.68473364,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0014,マツ,139.6374222,35.68472261,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0015,マツ,139.6375225,35.68471389,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0018,マツ,139.6374227,35.68469667,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0026,マツ,139.6375271,35.68464686,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0035,マツ,139.6373584,35.68452533,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0057,マツ,139.6373964,35.68431267,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0150-00-0062,マツ,139.6374953,35.68428528,公園樹木（杉並区）,成田かっぱ公園,suginami_park_matsu
PT0151-00-0013,マツ,139.6346379,35.71528053,公園樹木（杉並区）,一本松公園,suginami_park_matsu
PT0176-00-0007,アカマツ,139.6102132,35.71622417,公園樹木（杉並区）,今川二丁目公園,suginami_park_matsu
PT0188-02-0039,アカマツ,139.6299556,35.67569094,公園樹木（杉並区）,藤和緑地,suginami_park_matsu
PT0189-00-0005,アカマツ,139.6604429,35.69921431,公園樹木（杉並区）,こりす公園,suginami_park_matsu
PT0193-00-0029,マツ,139.6108697,35.69415917,公園樹木（杉並区）,宮前公園,suginami_park_matsu
PT0193-00-0045,マツ,139.6107951,35.69411569,公園樹木（杉並区）,宮前公園,suginami_park_matsu
PT0193-00-0051,マツ,139.610789,35.69408767,公園樹木（杉並区）,宮前公園,suginami_park_matsu
PT0193-00-0055,マツ,139.6111004,35.69408214,公園樹木（杉並区）,宮前公園,suginami_park_matsu
PT0193-00-0070,マツ,139.6111066,35.69404244,公園樹木（杉並区）,宮前公園,suginami_park_matsu
PT0199-00-0003,アカマツ,139.6352979,35.68988708,公園樹木（杉並区）,成三公園,suginami_park_matsu
PT0213-00-0465,アカマツ,139.6134832,35.72732972,公園樹木（杉並区）,井草森公園,suginami_park_matsu
PT0213-00-0678,アカマツ,139.6132667,35.72697939,公園樹木（杉並区）,井草森公園,suginami_park_matsu
PT0213-00-0681,アカマツ,139.613335,35.72697664,公園樹木（杉並区）,井草森公園,suginami_park_matsu
PT0213-00-0684,アカマツ,139.6130854,35.72697208,公園樹木（杉並区）,井草森公園,suginami_park_matsu
PT0213-00-0736,アカマツ,139.6128885,35.72689153,公園樹木（杉並区）,井草森公園,suginami_park_matsu
